动物,学名,分类,栖息地,分布,食性,行为,繁殖,保护状态,趣味事实,来源URL,语言,状态,错误信息
棉顶狨,Saguinus oedipus,Saguinus；种：Saguinus oedipus,热带森林边缘，树栖性,特有于哥伦比亚,以水果、昆虫、新鲜树叶为食,白天活动，群居动物，每群3-9猴。头顶绒毛在遇到危险时会竖起以吓退对手,孕期183天，公猴和母猴子共同照顾小猴，断奶期四到五周，12-15个月达到性成熟,IUCN：極危,绒顶柽柳猴的头顶绒毛较多，故而得名；它们遇到危险时头顶绒毛会竖起，以使它们显得更加强大,https://zh.wikipedia.org/wiki/%E7%B5%A8%E9%A0%82%E6%AA%89%E6%9F%B3%E7%8C%B4,zh,success,
美洲红鹮,Eudocimus ruber,属：Eudocimus；种：Eudocimus ruber,沙滩、咸水湖、红树林和沼泽,南美洲热带地区（包括巴西、贝伦）及特立尼达岛,甲壳类及细小的水中动物，雏鸟吃红蟹,成群在沙滩、咸水湖、红树林和沼泽里觅食，一起在沼泽中的大树上过夜；受汞污染影响可能导致同性雄鸟筑巢比例增加,在树上筑巢，每胎产2-4只蛋；雏鸟初为灰色及白色，成长后出现红色羽毛；曾与美洲白鹮杂交产生粉红色混种,IUCN：无危物种,它们是特立尼达岛的国鸟，与棕臀雉冠雉一同出现在特立尼达和多巴哥国徽上。；1962年曾将美洲红鹮的蛋放置在美洲白鹮的巢内，后来出现了粉红色的混种。；文献指出汞污染可能会影响其性别认同度，污染越严重，同性雄鸟筑巢的比例越高。,https://zh.wikipedia.org/wiki/%E7%BE%8E%E6%B4%B2%E7%B4%85%E4%B4%89,zh,success,
美洲红鹳,Phoenicopterus ruber,属：Phoenicopterus；种：Phoenicopterus ruber,栖息在潟湖、潮泥滩及海岸和内陆湖泊的浅水区,分布于巴西、南美洲、非洲、贝伦、巴哈马、科隆群岛、哥伦比亚海岸、委内瑞拉、墨西哥犹加敦半岛、伊斯帕尼奥拉岛、古巴、土克凯可群岛；在美国科罗拉多州南部有零星记录（多为走失个体）；是唯一一种天然分布在北美洲的火烈鸟,,活动节律为昼夜不定时性；叫声像鹅的鸣声,于5月至8月在泥丘上产1颗白垩色蛋，孵化期28-32日；双亲哺育幼崽至6岁，6岁达到性成熟,IUCN：无危物种,虽然又名加勒比海火烈鸟，但其实并非主要分布在加勒比海，而是因在科隆群岛分布造成误会。；估计寿命可达40岁，是世界上最长寿的鸟类之一。；其羽毛大部分呈粉红色，翼底为红色，主飞羽及次飞羽为黑色，喙尖端有点黑色，脚完全是粉红色。,https://zh.wikipedia.org/wiki/%E7%BE%8E%E6%B4%B2%E7%B4%85%E9%B8%9B,zh,partial,字段缺失：食性
金头狮面狨,Leontopithecus rosalia,属：Leontopithecus；种：Leontopithecus rosalia,海拔300米以下的沿海低地雨林、山林和沼泽林。,分布于巴西东南部热带雨林，包括波苏达斯安塔斯生物保护区、法曾达联合生物保护区及私人放生地，原产于大西洋沿岸地区。,杂食动物，主要吃水果，也吃花蜜、树胶、昆虫（占食物10–15%）、鸟卵和小型脊椎动物。,群居生活，每天活跃时间最多12小时，经常迁徙巢穴以减少气味被发现的风险。白天游荡觅食，傍晚回归巢穴，使用树洞、藤蔓或附生植物作为巢穴。,一夫一妻制，孕期约4个月（Wikidata显示128.5±3.5天），通常每胎生两个幼仔。群体集体养育后代，只有雌性头领能繁殖。,IUCN：瀕危 (保育狀況),金狮面狨名字来自亮红橙色毛发，脸和耳朵周围有超长毛发形成的鬃毛，面部黑色无毛。；金狮面狨与大西洋沿岸森林里96种植物互利共生，为植物散布种子，有助于森林更新和遗传变异。；金狮面狨移动方式不像典型灵长目动物，更像松鼠，利用锋利的爪子沿树枝行走、奔跑和跳跃。,https://zh.wikipedia.org/wiki/%E9%87%91%E7%8D%85%E9%9D%A2%E7%8B%A8,zh,success,
红脸蜘蛛猴,Ateles paniscus,属：Ateles；种：Ateles paniscus,未开发的原始雨林，栖居于雨林上层，以树冠层为活动空间。,北巴西、苏里南、圭亚那、法属圭亚那与委内瑞拉地区。,杂食性，以白蚁、蛴螬、叶片、花朵、莓果与水果为食。,呈现裂变融合社会结构，夜晚形成多达30只个体的群体（Band），白天分散为小群体移动或觅食。群体分布范围可达255公顷，擅长攀爬与跳跃。,妊娠期226–232天，4-5岁时断奶并达到性成熟，圈养个体寿命可达33岁。刚出生的幼猴面部呈黑色，随年龄增长转淡。,IUCN：易危物種,黑蜘蛛猴的尾巴具有抓握能力，四肢长而强健。；夜晚聚集而成的猴群称为“Band”，多半由雌性个体与它们的后代组成，并有少数雄性个体保护安全。；其栖息地受到1973年所列的亚马逊动物保护条例所保护。,https://zh.wikipedia.org/wiki/%E9%BB%91%E8%9C%98%E8%9B%9B%E7%8C%B4,zh,success,
红吼猴,Alouatta seniculus,属：Alouatta；种：Alouatta seniculus,树栖，喜欢留在林冠。,分布于南美洲的委内瑞拉、哥伦比亚、厄瓜多尔、秘鲁、玻利维亚及巴西的亚玛逊盆地西部。,主要吃叶子，也会吃坚果、细小的动物、果实、种子及花朵。,以3-9只的小群生活，一夫多妻制。雄猴在黎明时份吼叫以宣示存在并避免争斗。四肢行走，很少跳跃，利用卷缠尾提供额外支撑。,平均妊娠期190日。幼猴留在母猴身边18-24个月。性成熟雄猴被排挤出群落，需入侵其他群落杀死领袖及其幼猴以消除竞争，雄性入侵后幼猴生存率少于25%。,IUCN：无危物种,红吼猴的中耳有很大的骨罩，这与其他新世界猴不同。；它们后肠中有消化叶子的细菌，其体积就占了红吼猴的三分之一。；它们的齿式包括上下颚各有2只门齿、1只犬齿、3只前臼齿及3只臼齿。,https://zh.wikipedia.org/wiki/%E7%B4%85%E5%90%BC%E7%8C%B4,zh,success,
赤掌狨,Saguinus midas,Saguinus；种：Saguinus midas,栖息于亚马逊河以北的林区，偏好树冠较小的树木。,原产于巴西、圭亚那、法属圭亚那、苏里南以及可能的委内瑞拉（均位于亚马逊河以北）。,杂食性，食物包括树叶、植物渗出物、水果、花朵、蛋、昆虫及其他节肢动物、青蛙、蜘蛛、蜥蜴和花蜜。,寿命在野外约10年，圈养下约16年。以4至15只的群体生活，群体内合作紧密，雄性主要负责照顾幼崽。具有领地意识，攻击性强，拥有锋利的犬齿和爪子。擅长攀爬和跳跃，能从树上跳下超过18米而不受伤。天敌包括小型猫科动物、猛禽和蛇。,成年个体在16至20个月大时达到性成熟。繁殖季期间仅有一只雌性繁殖，其他雌性受抑制。妊娠期140至170天，通常产下两只幼崽。,IUCN：无危物种,金手柽柳猴是出色的跳跃者，能够从树上直接跳到地面，跳跃距离超过60英尺（18米）且毫发无损。；在群体中，雄性金丝猴主要负责照顾幼崽，仅在给幼崽喂奶时才将其交给母亲。,https://en.wikipedia.org/wiki/Golden-handed_tamarin,en,success,
合趾猿,Symphalangus syndactylus,属：Symphalangus；种：Symphalangus syndactylus,热带雨林以及高山森林。它们比其他长臂猿生活在更高海拔的地方。,分布于东南亚的马来西亚及苏门答腊。,杂食性，以进食果实、树叶、花蕾及小动物为主。,树栖性，四枝极为灵活。利用“臂跃行动”，运用强壮的手臂于树木之间穿梭往来。在地上步行时高举双臂以平衡身体。日间活动，过着以家庭为单位的小群体生活。无论雄性还是雌性喉咙之下都有声囊，鸣叫时声囊胀大，叫声响亮远至一公里外可听到，用于宣示存在及领域。晚间于高树的叶丛中睡觉。,孕期：232±2天。,IUCN：瀕危 (保育狀況),合趾猿是其他长臂猿的大小的两倍，达到1米的高度，重达14公斤。；学名 Hylobates 解作“树上的穴居者”。,https://zh.wikipedia.org/wiki/%E5%90%88%E8%B6%BE%E7%8C%BF,zh,success,
鞭笞鵎鵼,Ramphastos toco,属：Ramphastos；种：Ramphastos toco,偏好各种半开放栖地，如画廊森林、疏林草原、溪流边森林、林地、次生林、查科干燥森林（Chaco）、种植园、果园及树丛。在巴西的塞拉多（热带稀树草原类型）及画廊森林中特别常见，在潘塔纳尔湿地也十分普遍。栖息海拔最高可达1750米。,南美洲特有种，分布范围从圭亚那向南至阿根廷北部与乌拉圭。包括圭亚那、巴西北部布朗库河附近、沿亚马孙河下游至马瑙斯一带、马拉尼昂州沿海西南至巴西西南部、玻利维亚、秘鲁极东南部、皮奥伊州和巴伊亚州。曾被认为在阿根廷西北部的图库曼省灭绝，但2010年代初期重新被发现。近年来分布范围向南扩张至乌拉圭及南纬30度线以南。,杂食性食果鸟类，主要以多肉植物果实为食，补充食物包括昆虫、蛋及其他鸟类的雏鸟。取食无花果、橙子、番石榴、辣椒等含糖果实，旱季也会食用黄花风铃木和刺桐的花朵。最常捕食的昆虫是毛虫和白蚁，也会捕食蜥蜴、雏鸟及小型鸟类，并掠夺其他鸟类的巢穴。,通常在飞行或于树顶觅食时被观察到，飞行方式呈波浪状。拥有广大的活动范围，平均为86公顷。不如其他巨嘴鸟那样群居，通常单独或以小群在结果的树上觅食。繁殖期结束后有时会形成大群寻找果实。喙部具有调节血流的能力，可作为热辐射器帮助散热。,筑巢于洞穴中，通常由鸡冠刺桐或湿地松等树木构成，亦可能位于溪流岸或白蚁丘中。每窝产卵2至4枚，由双亲共同孵化17至18天。雏鸟在孵化后43至52天离巢。野外通常每年繁殖一次。,IUCN：无危物种,"巨嘴鸟的喙内部大多中空且含有密集的血管网，其散热能力可与象耳相提并论，负责30%至60%的热量流失。；巨嘴鸟是重要的种子传播者，对巴拿马树的种子传播工作承担了超过83%的比例，而濒危的紫蓝金刚鹦鹉几乎完全依赖巴拿马树的树洞筑巢。；巨嘴鸟是国际市场上价格最昂贵的宠物鸟类之一，1975年至2018年间交易量第二大，2020年平均零售价高达12,450美元。",https://zh.wikipedia.org/wiki/%E5%A4%A7%E5%B7%A8%E5%98%B4%E9%B3%A5,zh,success,
白面僧面猴,Pithecia pithecia,属：Pithecia；种：Pithecia pithecia,低地常绿雨林,巴西、法属圭亚那、圭亚那、苏里南及委内瑞拉,果实、蜜糖、花朵或昆虫,树栖性哺乳动物，喜日间活动。身手灵活，能飞跃相距达10米的树枝，被称为飞猴。,实行一夫妻制，以一个家庭作为群体生活的单位。雌性毛色与雄性有明显分别。,IUCN：无危物种,白面僧面猴身手灵活，能飞跃相距达10米的树枝，因而又被称为飞猴。；雌性的白面僧面猴与雄性的毛色有明显分别，在灵长目是甚为少见的。,https://zh.wikipedia.org/wiki/%E7%99%BD%E9%9D%A2%E5%83%A7%E9%9D%A2%E7%8C%B4,zh,success,
红背须僧面猴,Chiropotes chiropotes,Chiropotes；种：Chiropotes chiropotes,栖息于亚马逊河以北、布兰科河以东的地区，包括巴西、委内瑞拉和圭亚那地区。,分布于巴西、博阿維斯塔杜拉莫斯（根据Wikidata），以及亚马逊河以北、布兰科河以东的巴西、委内瑞拉和圭亚那地区（根据Wikipedia）。,主要以水果为食（果食性），也食用种子、花、坚果和昆虫、幼虫及蜘蛛等。它们能食用约100种植物物种，并具有适应咬碎豆荚的牙齿结构。,昼行性灵长类动物，从日出活动至日落前。它们以约40只成员组成的群体生活，包含两性，在旅行或寻找食物时偶尔会分散成小群。,雌性在雨季产仔，每次产一只幼崽，妊娠期约为五个月。,IUCN：无危物种,红背须僧面猴拥有浓密的胡须，尤其是雄性，且头部两侧有蓬松的毛发。；全球动物园中仅约有27只红背须僧面猴。；尽管不被视为濒危物种，但它们有时仍会被猎杀作为肉食来源。,https://en.wikipedia.org/wiki/Red-backed_bearded_saki,en,success,
斑帆蜥,Hydrosaurus pustulatus,属：Hydrosaurus；种：Hydrosaurus pustulatus,菲律宾近河流的热带森林,菲律宾的莱特岛、内格罗斯岛、班乃岛、萨马岛及邻近省份,杂食性，吃果实、叶子、花朵、昆虫及细小的动物,游泳能力强，扁平的脚趾适合在水中活动；雄蜥背上有较大的冠，越长大会出现紫色；雌蜥色彩较少,,IUCN：无危物种,斑帆蜥是菲律宾特有的一种蜥蜴。；其主要威胁是被猎食及作为宠物出售。,https://zh.wikipedia.org/wiki/%E6%96%91%E5%B8%86%E8%9C%A5,zh,partial,字段缺失：繁殖
六带犰狳,Euphractus sexcinctus,属：Euphractus；种：Euphractus sexcinctus,,分布于玻利维亚、巴西、乌拉圭、巴拉圭等地区,,,孕期：62±2天；每胎数量：2±1,IUCN：无危物种,体色为黄色或红褐色；也被称为黄犰狳,https://zh.wikipedia.org/wiki/%E5%85%AD%E5%B8%A6%E7%8A%B0%E7%8B%B3,zh,partial,字段缺失：栖息地、食性、行为
鸸鹋,Dromaius novaehollandiae,属：Dromaius；种：Dromaius novaehollandiae,人口稀少的地方，不包括密林和沙漠；逐水草而栖息。,特有于澳大利亚。,榖类、花朵、果实、嫩芽、昆虫、幼虫或任何可食用的东西；为帮助消化会吞下小石头。,昼行性，独居动物，善于游泳，能横渡河流及在水中嬉戏；西澳鸸鹋夏季向北、冬季向南迁徙，东部鸸鹋迁移较随意，每日行走10至25公里。,仲夏配对，占领约30平方公里领域；雌鸟产深绿色厚壳蛋（每窝8-10只，有时10-25只），雄鸟负责孵化（约8周，不吃不喝靠脂肪生存）并抚养雏鸟至少6个月；非一夫一妻制，雌鸟孵卵期间可与其他雄鸟交配。,IUCN：无危物种,鸸鹋是现存世上第二大的鸟类，仅次于鸵鸟，冲刺速度可达每小时80公里。；鸸鹋能通过鼻腔通道多重大皱折回收呼吸时的水分，并在天热时通过伸出舌头喘气蒸发肺部水分来降温。；1932年，西澳洲农民曾发动“鸸鹋战争”，使用机关枪试图控制鸸鹋数量，但因鸸鹋机动性强且弹药浪费严重而迅速结束。,https://zh.wikipedia.org/wiki/%E9%B8%B8%E9%B9%8B,zh,success,
刺猬,,动物界 > 脊索动物门 > 哺乳纲 > 真盲缺目 > 猬亚科 (Erinaceinae),稀树草原、林地、沙漠、灌木丛，亦常活动于郊区的住家花园。,广泛分布于欧洲、阿拉伯沙漠地区、中亚和非洲；在中国北方则有东北刺猬。新西兰和苏格兰的一些岛屿也有人为从英国引入的西欧刺猬。,杂食动物。食物包括昆虫、蜗牛、青蛙和蟾蜍、小蛇、鸟蛋、蘑菇、草根、坚果、水果、腐肉等。早春从冬眠中苏醒的刺猬主要以莓果为食。刺猬对乳糖敏感，所以作为宠物饲养时不可喂食乳制品。,夜行性动物。视觉能力较差，主要使用听觉和嗅觉感知猎物。遇到新气味时会舔咬并用舌头把气味涂抹到尖刺上（涂刺）。自我防御时会蜷缩成一团，使尖刺朝外。,雌性在9—11个月左右性成熟，妊娠期4—6周，每次大约可产4—7个幼崽。新生刺猬眼睛未睁开，通体现粉色，出生数小时后白色刺穿出。小刺猬约13—24天睁眼，母亲照料至4—6周龄。野外大体型物种寿命可达4—7年，小体型2—4年；饲养环境下根据体型不同寿命为8—10年。,,刺猬能抵抗多种毒物，特别是具备对蛇毒的天然免疫，是仅有的四种可免疫蛇毒中α-神经毒素的哺乳动物之一。；刺猬偶尔会出现“涂刺”行为，当遇到一种新的气味时，它们会舔咬气味源，然后用舌头把这种气味涂抹到尖刺上。；家养刺猬可能会将头卡在纸管中并试图带着它们四处奔跑，这种行为被称为“纸管游戏”。,https://zh.wikipedia.org/wiki/%E5%88%BA%E7%8C%AC,zh,partial,Wikidata：Waiting for wdqs1014: 8.75 seconds lagged.；字段缺失：学名、保护状态
虾虎鱼,Gobiidae,辐鳍鱼纲 > 鲈形总目 > 虾虎鱼目 > 虾虎鱼科,热带及温带沿岸海水环境，包括浅海、潮间带水坑、珊瑚礁、海草牧场、河口（河流下游、红树林湿地、盐沼地），部分种类适应淡水环境。,广泛分布于全球热带及温带海域，部分种类见于欧洲淡水（如欧洲的淡水虾虎鱼）。,是许多经济鱼类（如鳕鱼、黑线鳕、黑鲈和比目鱼等）的重要食粮；部分种类扮演清洁工角色，清除大鱼皮肤、鳍、口和鳃中的寄生虫。,腹鳍愈合成吸盘状，常吸附在岩石、珊瑚或水族箱玻璃上；部分种类与虾类共生，担任“看门”角色，通过尾鳍轻拍警告危险；部分种类为清洁鱼。,,,世界上最短小的脊椎动物之一微虾虎鱼（Trimmatom nanus）属于虾虎鱼科，成体短于1厘米。；一些虾虎鱼与掘穴的虾类共生，虾负责打理洞穴，虾虎鱼负责警戒，二者通过触角触碰保持联系。；𬶋虾虎鱼（Gobiosoma spp.）作为清洁鱼，会为石斑鱼和鲷鱼等平时以它们为食的鱼类清除寄生虫。,https://zh.wikipedia.org/wiki/%E8%99%BE%E8%99%8E%E9%B1%BC%E7%A7%91,zh,partial,Wikidata：Waiting for wdqs1014: 8.75 seconds lagged.；字段缺失：繁殖、保护状态
黄黝鱼,Micropercops swinhonis,塘鳢科小黄黝鱼属,江河、湖泊、塘以及库等缓流多水草处,中国，分布于黑龙江至珠江广布；模式产地在上海,,,,,,https://zh.wikipedia.org/wiki/%E9%BB%84%E9%BB%9D%E9%B1%BC,zh,partial,Wikidata：Waiting for wdqs1014: 8.75 seconds lagged.；字段缺失：食性、行为、繁殖、保护状态、趣味事实
青鳉,Oryzias latipes,,生活于平地之池沼及河川水流缓慢处，水草茂盛处尤多。对盐分及高温耐性强，即使在盐田或温泉中也能生存。,原产地仅限于日本。北海道青鳉为引入种。世界其他地区存在引入记录，但常与中华青鳉混淆。,以小动植物为食。有吞食蚊子幼虫的习性。,喜欢在水体表层群游。对有毒物质及药品耐性极低。,产卵期为4至10月，水温18至30℃下可经常产卵。卵具丝状突出物，用以缠络水草以便孵化。雄鱼腹鳍在繁殖季节变黑。,,1994年哥伦比亚航天飞机上的一对青鳉成功在太空里产下了卵并孵化，成为最早在外太空交配的鱼类。；青鳉是模式生物，其基因组仅有八亿碱基对，且生命周期短（7周繁殖一代），适应温度范围宽（6—40 °C）。,https://zh.wikipedia.org/wiki/%E9%9D%92%E9%B1%82,zh,partial,Wikidata：Waiting for wdqs1014: 8.75 seconds lagged.；字段缺失：分类、保护状态
麦穗鱼,Pseudorasbora parva,鲤科麦穗鱼属,水深0至5米的溪流。,本鱼原产于中国、韩国、俄罗斯远东地区及日本的溪流中。引入世界各地，并造成某些地区的生态冲击。,,,繁殖期时，雄鱼头部具追星，雌鱼体型较小且产卵管稍外突。,,麦穗鱼又名罗汉鱼，俗名包括浮水仔、车栓仔、尖嘴仔。；麦穗鱼于1960年代被引入罗马尼亚鱼塘，随后扩散至整个欧洲并带来寄生虫威胁其他鱼类。,https://zh.wikipedia.org/wiki/%E9%BA%A6%E7%A9%97%E9%B1%BC,zh,partial,Wikidata：Waiting for wdqs1012: 9.3 seconds lagged.；字段缺失：食性、行为、保护状态
棒花鱼,Abbottina rivularis,辐鳍鱼纲 -> 鲤形目 -> 鲤科 -> 棒花鱼属,平原河流水清以及沙底处,中国东部黑龙江至珠江等水系，及朝鲜西部、日本本州西部及九州,,,,,体长可达11公分。；种加词“rivularis”意为“溪边的”。,https://zh.wikipedia.org/wiki/%E6%A3%92%E8%8A%B1%E9%B1%BC,zh,partial,Wikidata：Waiting for wdqs1012: 9.3 seconds lagged.；字段缺失：食性、行为、繁殖、保护状态
泥鳅,Misgurnus anguillicaudatus,辐鳍鱼纲 -> 鲤形目 -> 鳅科 -> 花鳅亚科,栖息在河、湖泊、池塘和水田中；可生活在温度2与30℃之间，最适水温为15-30℃，在低于5℃以下或高于30℃以上时，会潜入泥层中休眠。,分布于缅甸、朝鲜、日本、中国（辽河到云南的东部水域，包括四川、湖北、湖南、重庆，以及香港、台湾等地的湖泊、水库、沟渠、池塘和稻田等水体），模式产地在浙江舟山。该物种亦被引进至夏威夷等地。,属杂食性，以蠕虫、小型甲壳动物、昆虫等为食。,性情温和；可用鳃、肠和皮肤呼吸，水中氧气不足时能直接呼吸水面上的空气；气压低时会变得十分活跃。因身体滑难以捕捉，故有“鰗鰡”之称，该词也用于形容小孩顽皮溜得快。,,,泥鳅具有特殊的呼吸方式，除了用鳃呼吸外，还能利用肠和皮肤进行呼吸，甚至能在缺氧时直接吞咽水面空气。；泥鳅的身体非常光滑，难以捕捉，因此得名“鰗鰡”，这个名称在中文里也被引申用来形容小孩子行动敏捷、顽皮好动。,https://zh.wikipedia.org/wiki/%E6%B3%A5%E9%B3%85,zh,partial,Wikidata：Waiting for wdqs1012: 9.3 seconds lagged.；字段缺失：繁殖、保护状态
高体鳑鲏,Rhodeus ocellatus,辐鳍鱼纲 > 鲤形目 > 鱊科 > 鳑鲏属,淡水环境，依赖巨型淡水河蚌及河蚬作为寄主。,朝鲜半岛、南盘江、长江、香港、台湾、福建和海南等；模式产地在上海。,,发情季节时，雄性身体会转成紫红色到玫瑰红色以吸引异性。,依赖水中的巨型淡水河蚌及河蚬作为寄主，在贝内的鳃瓣上产卵。,,雌性体长约4到5公分，雄性体长约5到8公分。；俗名包括土扁屎、牛粪鲫、红目鲫仔和水打扁等。,https://zh.wikipedia.org/wiki/%E9%AB%98%E9%AB%94%E9%B0%9F%E9%AE%8D,zh,partial,Wikidata：Waiting for wdqs1012: 9.3 seconds lagged.；字段缺失：食性、保护状态
黑壳虾,,十足目淡水虾类,华东地区的淡水池塘与湿地,南京红山森林动物园本土物种保育区的原生态池塘,取食池塘中的植物残叶和有机碎屑,与鱼、螺和水生植物共同构成自循环池塘生态，并参与净化水质,,未评估,讲解稿记录，这座池塘无需人工投喂也能维持生态平衡。,,zh,partial,讲解稿仅使用俗名，无法可靠确定到具体物种
田螺,Viviparidae,界: 动物界 > 门: 软体动物门 > 纲: 腹足纲 > 目: 主扭舌目 > 科: Viviparidae (田螺科),淡水,该科几乎遍布全球的温带和热带地区，除了南美洲。在非洲有两个属：Bellamya 和 Neothauma。,很多淡水鱼类喜欢吃田螺,,胎生（根据 Viviparidae 名称含义及“螺蛳是田螺科动物的通称”隐含的生物学常识，但正文未明确描述生殖行为细节，仅提及生命周期），寿命报告为3到11年。,,田螺体内很容易生长寄生虫。；田螺科物种大致可分为三个亚科：田螺亚科、环棱螺亚科和平圆螺亚科。,https://zh.wikipedia.org/wiki/%E7%94%B0%E8%9E%BA%E7%A7%91,zh,partial,Wikidata：Waiting for wdqs1012: 9.3 seconds lagged.；字段缺失：行为、保护状态
长臂虾,Palaemon modestus,长臂虾科长臂虾属,河流湖泊,西伯利亚、朝鲜半岛和中国东部地区；被引入台湾、北美部分地区,,,,,秀丽长臂虾是中国淡水水域主要的经济虾类，其产量仅次于日本沼虾。；在巢湖、太湖等大型水域中资源丰富。,https://zh.wikipedia.org/wiki/%E7%A7%80%E4%B8%BD%E9%95%BF%E8%87%82%E8%99%BE,zh,partial,Wikidata：Waiting for wdqs1012: 9.3 seconds lagged.；字段缺失：食性、行为、繁殖、保护状态
牛背鹭,Bubulcus coromandus,鹈形目 > 鹭科,主要在田野和干燥的草地栖息，也利用季节性淹水的草地、牧场、农田、湿地和稻田。常伴随牛或其他大型哺乳动物。,分布于南亚和东亚至印度次大陆、澳大利亚和新西兰。在澳大利亚北部和东部建立栖地，1960年代开始定期迁徙到新西兰。分布范围扩展与人类及其家畜的关系有关。,主要捕食昆虫（蚱蜢、蟋蟀、苍蝇、蛾）、蜘蛛、青蛙和蚯蚓。有时捕食榕树无花果、海鸟卵和雏鸟及精疲力竭的迁徙陆鸟。常与大型草食动物共生，捕捉被惊动的小生物。,通常在陆地觅食，依赖陆地昆虫而非水生猎物。部分种群迁徙，部分留鸟扩散。在城市环境中可在铁路线等特殊情况下觅食。对同类具有弱领域性，但在高密度时放弃领地。,在鸟类聚落中筑巢，通常靠近水体或与其他湿地鸟类共享。繁殖季节因地而异（如北印度始于五月，澳大利亚为十一月至一月）。每季产一窝，卵数1-5枚（常见3-4枚），孵化期约23天。雏鸟30天离巢，45天独立。,,牛背鹭跟随大型动物（如牛）觅食的成功率比单独觅食高出3.6倍。；牛背鹭能去除牛身上的蜱虫和苍蝇，这种互利关系有助于控制牛的寄生虫。；牛背鹭失去了湿地亲戚校正水光折射的能力，这是对其陆地觅食习性的适应。,https://zh.wikipedia.org/wiki/%E7%89%9B%E8%83%8C%E9%B9%AD,zh,partial,Wikidata：Waiting for wdqs1012: 9.3 seconds lagged.；字段缺失：保护状态
中华蟾蜍,Bufo gargarizans,动物界 > 脊索动物门 > 两栖纲 > 无尾目 > 蟾蜍科 > 蟾蜍属,阴湿的草丛中、土洞里以及砖石下等。生存的海拔上限为1500米（指名亚种），海拔范围为750至2700米（华西亚种）。,中国（河北、山西、黑龙江、辽宁、吉林、江苏、浙江、安徽、福建、江西、河南、湖北、湖南、四川、贵州、云南、陕西、甘肃、宁夏、青海等地）；日本宫古岛；俄罗斯远东。,,,,收录入《有重要生态、科学、社会价值的陆生野生动物名录》（2023年）,中华蟾蜍有多个俗名，包括癞肚子、癞疙疱、癞蛤蟆。；中华蟾蜍包含多个亚种，如指名亚种、华西亚种和岷山亚种，其中后两者为中国特有物种。,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%8D%8E%E8%9F%BE%E8%9C%8D,zh,partial,Wikidata：Waiting for wdqs1012: 9.8666666666667 seconds lagged.；字段缺失：食性、行为、繁殖
耳廓狐,Vulpes zerda,动物界 脊索动物门 哺乳纲 真兽下纲 劳亚兽总目 食肉目 犬科 狐属,北非撒哈拉沙漠，包括开阔的沙地或由植物固定的沙丘。适应高温缺水的沙漠环境，在紧实土壤中洞穴可达120平方米并有15个入口，松软沙地中巢穴一般仅有一个入口和一个内室。,分布于北非和亚洲西奈半岛与科威特一带，包括摩洛哥到埃及，北至阿尔及利亚，南至尼日尔北部，东至西奈半岛和科威特，西至毛里塔尼亚。,夜行杂食动物，食物包括啮齿动物、昆虫、鸟类和鸟蛋。可从食物中吸收水分，也可直接饮水，其肾脏适应了缺水环境并可以阻止水分流失。,基本社会单元是一对父母和它们的后代，过去一年的子代通常会留在家庭中直到新的幼狐出生。圈养动物体现高度社会行为，如互相接触，雄性用尿标记雌性发情周期，并用后足和鼻子掩埋粪便。听力敏锐，足以感觉到地下猎物活动。主要天敌包括狞猫和非洲种的雕鸮，此外胡狼、鬣狗和沙克犬等也可能捕食耳廓狐。,约9个月左右性成熟，一年一般只繁殖一次。野外求偶常发生于1月和2月，幼崽于3月到4月出生；圈养耳廓狐常于3月到7月出生。妊娠期为50至52天（圈养有62-63天报道），一胎有一到四个幼崽，断奶期约61至70天。幼崽刚出生时耳朵折叠，眼睑十天左右张开。圈养最长寿命纪录为12年，野外最多不超过10年。,IUCN红色名录：无危 (LC)；濒危野生动植物种国际贸易公约附录II,耳廓狐是最小的犬科动物，重0.68–1.6千克，身长24–40厘米。；其英文名Fennec来自于阿拉伯语狐狸一词；种名zerda出自希腊语单词ξηρός（xērós），意为“干燥”，是对其栖息地的描述。；耳廓狐是阿尔及利亚国家足球队昵称“Les Fennecs”的来源，也是迪士尼动画《疯狂动物城》角色飞仔的原型之一。,https://zh.wikipedia.org/wiki/%E8%80%B3%E5%BB%93%E7%8B%90,zh,partial,Wikidata：Waiting for wdqs1012: 9.8666666666667 seconds lagged.
